time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-11-23 11:24:14.880 UTC, , , , , , , , , ,589,3301189,153416,1456, ,14, ,12, , , , , , , , , ,14,14, , , ,1,2,19, ,12, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,118449,579788275712,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,118449,1700738054790,,, , , , , , , , , ,3145728,118420,0,0,0,0, , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , , ,102614464, , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , , 
2023-11-23 11:24:16.983 UTC, , , , , , , , , ,589,3299733,153416, , ,14, , , , , , , , , , , ,14,14, , , ,1,2,19, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,118449,579767500800,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,118449,1700738054790,,, , , , , , , , , ,3145728,118420, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,104711616, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-27 16:15:34.296 UTC, , , , , , , , , ,125,3173197,27264,80, ,4, ,82,4,0.05, , , , , , , ,4,4, ,2, ,3,2,5, ,66,22, , , , , , , , , , , , , ,144931,2, ,118549, , , , , , ,-1,-1,-1,-1, , , , , ,18,388, , , , , , , , , , , , , , , , , , , , , , , , , , ,1701101734244,,, , , , , , , , , ,3145728,144931, , , , , , ,33, , ,3, , ,3, , ,33,1,2048,1, , , , , ,574178,97, , , , , , , , ,16,32,428091984, , , , , , , ,59, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-27 16:16:34.306 UTC, , , , , , , , , ,125,3195253,49064,336, ,7, ,98,3,0.03, , , , , , , ,7,7, , , ,3,2,8, ,99,33, , , , , , , , , , , , , ,144931,2, ,118549, , , , ,144982,783415312384,66,66,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,144982,1701101734244,,, , , , , , , , , ,3145728,144931, , , , , , ,38, , , , , ,3, , ,38,1, , , , , , , ,25679,40, , , , , , , , ,1,4,385052352, , , , , , , ,102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,88,3, , , , , , , , , , 
2023-11-27 16:17:34.312 UTC, , , , , , , , , ,125,3195253,49064,336, ,7, , , , , , , , , , , ,7,7, , , ,3,2,8, , , , , , , , , , , , , , , , ,144931,2, ,118549, , , , ,144982,783272050688,66,66,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,144982,1701101734244,,, , , , , , , , , ,3145728,144931, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,401829568, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-27 16:18:34.318 UTC, , , , , , , , , ,125,3195253,49064,336, ,7, , , , , , , , , , , ,7,7, , , ,3,2,8, , , , , , , , , , , , , , , , ,144931,2, ,118549, , , , ,144982,783156183040,66,66,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,144982,1701101734244,,, , , , , , , , , ,3145728,144931, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,410218176, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-27 16:19:34.321 UTC, , , , , , , , , ,125,3195253,49064,336, ,7, , , , , , , , , , , ,7,7, , , ,3,2,8, , , , , , , , , , , , , , , , ,144931,2, ,118549, , , , ,144982,783332278272,66,66,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,144982,1701101734244,,, , , , , , , , , ,3145728,144931, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,416509632, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-27 16:20:34.326 UTC, , , , , , , , , ,125,3195253,49064,336, ,7, , , , , , , , , , , ,7,7, , , ,3,2,8, , , , , , , , , , , , , , , , ,144931,2, ,118549, , , , ,144982,782941814784,66,66,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,144982,1701101734244,,, , , , , , , , , ,3145728,144931, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,433286848, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-27 16:21:34.330 UTC, , , , , , , , , ,125,3195253,49064,336, ,7, , , , , , , , , , , ,7,7, , , ,3,2,8, , , , , , , , , , , , , , , , ,144931,2, ,118549, , , , ,144982,782451605504,66,66,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,144982,1701101734244,,, , , , , , , , , ,3145728,144931, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,452161216, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-27 16:22:34.334 UTC, , , , , , , , , ,125,3195253,49064,336, ,7, , , , , , , , , , , ,7,7, , , ,3,2,8, , , , , , , , , , , , , , , , ,144931,2, ,118549, , , , ,144982,782070185984,66,66,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,144982,1701101734244,,, , , , , , , , , ,3145728,144931, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,20,96619472,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
