time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-11-23 10:56:18.417 UTC, , , , , , , , , ,125,3161533,15544,136, ,3, ,12, , , , , , , , , ,3,3, , , , ,1,3, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,576627605504,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1700736978378,,, , , , , , , , , ,3145728,1377,1,1,0,1, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,18,45,168373960,1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-23 11:06:39.641 UTC, , , , , , , , , ,125,3209109,63064,192, ,10, ,571,10,0.02, , , , , , , ,10,10, ,237, ,3,7,11, ,307,20, , , , , , , , , , , , , ,129058,2,107291,107291,1, ,10,20,129112,583621935104,66,66,66,66, , , , , ,14,293, , , , , , , , , , , , , , , , , , , , , , , , , ,129112,1700737599556,,, , , , , , , , , ,3145728,129058,1,1,0,1, , ,33,1,1,5,1, ,3,2, ,33,1,2048,1, , , , , ,1137028,171,21892,1, , , , , , ,16,38,69759472, , , , , , , ,312, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , , 
2023-11-23 11:07:39.647 UTC, , , , , , , , , ,125,3221413,75224,336, ,10, ,113, , , , , , , , , ,10,10, , , ,3,6,10, ,130,29, , , , , , , , , , , , , ,129058,2,107291,107291, , , , ,129112,583406518272,66,66,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,129112,1700737599556,,, , , , , , , , , ,3145728,129058, , , , , , ,30, , , , , ,3, , ,30,1, , , , , , , ,10646,30, , , , , , , , , , ,189297136, , , , , , , ,135, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21,81,17, , , , , , , , , , 
2023-11-23 11:08:39.654 UTC, , , , , , , , , ,125,3221413,75224,336, ,10, ,21, , , , , , , , , ,10,10, , , ,3,6,10, ,21, , , , , , , , , , , , , , ,129058,2,107291,107291, , , , ,129112,583157940224,66,66,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,129112,1700737599556,,, , , , , , , , , ,3145728,129058, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,222851568, , , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , , 
2023-11-23 11:09:39.661 UTC, , , , , , , , , ,589,3267421,119424,1680, ,14, ,715, , , , , , , , , ,14,14, , , ,4,5,14, ,703,7, , , , , , , , , , , , , ,129058,2,107291,107291, , , , ,159062,582900318208,68,68,68,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,159062,1700737599556,,, , , , , , , , , ,3145728,159032,1,1,1,1, , ,7,13,13,2,13, ,3,14, ,7,1, , , , , , , ,5428,9,29950,22, , , , , , ,1,12,60375184,1, , , , , , ,1030, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,54, ,156,410,65,8, , , , , , , , , 
2023-11-23 11:10:39.667 UTC, , , , , , , , , ,589,3267421,119424,1680, ,14, ,19, , , , , , , , , ,14,14, , , ,4,5,14, ,46, , , , , , , , , , , , , , ,129058,2,107291,107291, , , , ,159062,582612615168,68,68,68,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,159062,1700737599556,,, , , , , , , , , ,3145728,159032,0,0,0,0, , , , , , , , ,3,1, , ,1, , , , , , , , , , , , , , , , , , , ,77152400,1, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29,17, , , , , , , , , , , 
2023-11-23 11:11:39.672 UTC, , , , , , , , , ,589,3267421,119424,1680, ,14, , , , , , , , , , , ,14,14, , , ,4,5,14, , , , , , , , , , , , , , , , ,129058,2,107291,107291, , , , ,159062,582335332352,68,68,68,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,159062,1700737599556,,, , , , , , , , , ,3145728,159032, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,85541008,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-23 11:12:39.678 UTC, , , , , , , , , ,589,3267421,119424,1680, ,14, , , , , , , , , , , ,14,14, , , ,4,5,14, , , , , , , , , , , , , , , , ,129058,2,107291,107291, , , , ,159062,582010535936,68,68,68,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,159062,1700737599556,,, , , , , , , , , ,3145728,159032, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,93929616, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-23 11:13:23.450 UTC, , , , , , , , , ,589,3265741,119424, , ,14, , , , , , , , , , , ,14,14, , , ,4,5,14, , , , , , , , , , , , , , , , ,129058,2,107291,107291, , , , ,159062,581662605312,68,68,68,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,159062,1700737599556,,, , , , , , , , , ,3145728,159032, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,104415376, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
